"id","texto_original","texto_procesado","etiqueta_real","etiqueta_predicha","modelo"
"994","Funciona a ratos; para mí eso ya es una falla importante.","funcionar rato falla importante","negativo","negativo","LinearSVC"
"683","Llegó junto con un cable y una guía rápida.","cable guía rápido","neutro","neutro","LinearSVC"
"960","Llegó rápido y bien empacado, pero venía un accesorio faltante.","rápido bien empacado pero venir accesorio faltante","mixto","mixto","LinearSVC"
"183","Los audífonos se escuchan mal y uno no prende.","audífono escuchar no prender","negativo","negativo","LinearSVC"
"986","La calidad es muy mala y el material se siente corriente.","calidad malo material corriente","negativo","negativo","LinearSVC"
"66","La batería dura bastante, mejor de lo que esperaba.","batería duro mejor esperar","positivo","positivo","LinearSVC"
"75","Muy recomendable, el artículo llegó en perfecto estado.","recomendable artículo perfecto","positivo","positivo","LinearSVC"
"642","No volvería a comprarlo, mejor gasten un poco más en otra opción.","no volver mejor gastar opción","negativo","negativo","LinearSVC"
"395","El artículo llegó correctamente y se puede utilizar.","artículo correctamente utilizar","neutro","neutro","LinearSVC"
"72","Llegó en tiempo y forma, todo sin problemas.","tiempo formar sin problema","positivo","positivo","LinearSVC"
"79","La compra fue muy buena, el producto salió excelente.","compra buen producto salir excelente","positivo","positivo","LinearSVC"
"671","No sé si recomendarlo todavía porque apenas lo estoy configurando.","no configurar","neutro","neutro","LinearSVC"
"123","Todo bien con el audífonos, llegó completo.","bien audífono completo","positivo","positivo","LinearSVC"
"420","El tablet tiene presentación estándar.","tablet presentación estándar","neutro","neutro","LinearSVC"
"988","Llegó completo y a tiempo, aunque una pieza venía ligeramente rayada.","completo tiempo aunque pieza venir ligeramente rayado","mixto","mixto","LinearSVC"
"720","Me gustó el perfume, aunque el material se siente más barato de lo que esperaba.","gustar perfume aunque material barato esperar","mixto","mixto","LinearSVC"
"505","El producto es práctico, pero la instalación fue complicada.","producto práctico pero instalación complicar","mixto","mixto","LinearSVC"
"161","no jalo","no jalir","negativo","negativo","LinearSVC"
"550","La calidad es aceptable para el precio y funciona bien, aunque después de usarlo noté que algunos acabados podrían mejorar.","calidad aceptable precio funcionar bien aunque noté acabado mejorar","mixto","mixto","LinearSVC"
"906","La neta salió malo, no duró ni una semana.","neta salir malo no durar semana","negativo","negativo","LinearSVC"
"581","El chamarra llegó rápido, pero tenía un rayón.","chamarra rápido pero rayón","mixto","mixto","LinearSVC"
"243","El producto llegó con piezas flojas y mal armado.","producto pieza flojo armado","negativo","negativo","LinearSVC"
"888","Llegó completo y a tiempo, aunque una pieza venía ligeramente rayada.","completo tiempo aunque pieza venir ligeramente rayado","mixto","mixto","LinearSVC"
"254","El muñeca venía abierto y con señales de uso.","muñeca venir abierto señal uso","negativo","negativo","LinearSVC"
"171","El producto llegó dañado y no funcionó desde que lo saqué de la caja.","producto dañado no funcionar saqué caja","negativo","negativo","LinearSVC"
"324","El producto es normal, no destaca pero funciona.","producto normal no destacar pero funcionar","neutro","neutro","LinearSVC"
"522","La mochila está bonita, pero una costura viene chueca.","mochilo bonito pero costura venir chueco","mixto","mixto","LinearSVC"
"302","Regular.","regular","neutro","neutro","LinearSVC"
"816","La cámara funciona bien, pero el paquete llegó tarde y la caja venía maltratada.","cámara funcionar bien pero paquete tarde caja venir maltratado","mixto","mixto","LinearSVC"
"632","Me gustó la mochila, aunque el material se siente más barato de lo que esperaba.","gustar mochila aunque material barato esperar","mixto","mixto","LinearSVC"
"875","Cuenta con las piezas que se muestran en la imagen.","pieza mostrar imagen","neutro","neutro","LinearSVC"
"901","Lo compré para un familiar y quedó encantado; el juguete cumple muy bien.","comprar familiar encantado juguete cumplir bien","positivo","positivo","LinearSVC"
"452","Funciona, pero llegó golpeado.","funcionar pero golpeado","mixto","mixto","LinearSVC"
"414","pues El taza corresponde a la descripción. jeje","taza corresponder descripción jeje","neutro","neutro","LinearSVC"
"234","Muy mala experiencia, el pedido llegó equivocado.","malo experiencia pedido equivocado","negativo","negativo","LinearSVC"
"600","El short funciona, pero la batería dura poco.","short funcionar pero batería duro","mixto","mixto","LinearSVC"
"435","la verdad El gorra tiene presentación estándar.","gorra presentación estándar","neutro","neutro","LinearSVC"
"947","Viene sin baterías incluidas.","venir sin batería incluido","neutro","neutro","LinearSVC"
"820","Me gustó la playera, aunque el material se siente más barato de lo que esperaba.","gustar playera aunque material barato esperar","mixto","mixto","LinearSVC"
"602","No recomiendo la cafetera; desde el primer día empezó a fallar.","no recomeir cafetera empezar fallar","negativo","negativo","LinearSVC"
"834","No me gustó nada; se siente frágil y falla seguido.","no gustar frágil fallar seguido","negativo","negativo","LinearSVC"
"4","10/10.","num_10 num_10","positivo","neutro","LinearSVC"
"540","La compra fue fácil, pero el producto no era tan grande como esperaba.","compra fácil pero producto no esperar","mixto","mixto","LinearSVC"
"358","El producto llegó en condiciones normales.","producto condición normal","neutro","neutro","LinearSVC"
"399","El artículo tiene un funcionamiento básico, suficiente para el uso indicado en la publicación, sin elementos destacables.","artículo funcionamiento básico suficiente uso indicado publicación sin elemento destacable","neutro","neutro","LinearSVC"
"12","funciona bn","funcionar","positivo","neutro","LinearSVC"
"656","Me gustó el diseño, pero no la sensación del material.","gustar diseño pero no sensación material","mixto","mixto","LinearSVC"
"643","No tengo una opinión todavía, solo confirmo que ya recibí el producto.","no opinión confirmar recibir producto","neutro","neutro","LinearSVC"
"53","El producto llegó limpio, nuevo y en buenas condiciones.","producto limpio buena condición","positivo","positivo","LinearSVC"
"95","El servicio fue rápido y el producto llegó excelente.","servicio rápido producto excelente","positivo","positivo","LinearSVC"
"321","El producto llegó en la fecha indicada y corresponde a la descripción.","producto fecha indicado corresponder descripción","neutro","neutro","LinearSVC"
"157","No prende.","no prender","negativo","negativo","LinearSVC"
"897","Muy bueno...","bueno","positivo","positivo","LinearSVC"
"641","Sí recomiendo la compra; para uso diario me ha resultado bastante buena.","recomeir compra uso diario resultar buen","positivo","positivo","LinearSVC"
"263","la verdad El muñeca llegó dañado y no funciona.","muñeca dañado no funcionar","negativo","negativo","LinearSVC"
"204","El vendedor canceló tarde y no explicó el motivo.","vendedor cancelar tarde no motivo","negativo","negativo","LinearSVC"
"393","El producto funciona de forma normal.","producto funcionar forma normal","neutro","neutro","LinearSVC"
"661","El precio me parecía sospechosamente bajo, pero la compra salió buena.","precio parecer sospechosamente pero compra salir buen","positivo","positivo","LinearSVC"
"812","Sí lo usaría otra vez, aunque no sé si pagaría el mismo precio.","aunque no pagar precio","mixto","mixto","LinearSVC"
"50","El artículo está bonito y se nota que es durable.","artículo bonito notar durable","positivo","mixto","LinearSVC"
"304","Cumple.","cumplir","neutro","positivo","LinearSVC"
"949","No tengo quejas sobre el cable; todo llegó completo y funciona como debe.","no queja cable completo funcionar","positivo","positivo","LinearSVC"
"281","sinceramente El cepillo llegó incompleto y nadie resolvió.!!!","sinceramente cepillo incompleto resolver","negativo","negativo","LinearSVC"
"715","El color coincide con el que aparece en las fotos.","color coincidir aparecer foto","neutro","neutro","LinearSVC"
"30","Funciona perfecto desde el primer día, muy recomendable.","funcionar perfecto recomendable","positivo","positivo","LinearSVC"
"82","La calidad del producto es muy buena por el precio.","calidad producto buen precio","positivo","positivo","LinearSVC"
"543","El envío fue correcto, aunque el producto llegó con una marca pequeña.","envío correcto aunque producto marca pequeño","mixto","mixto","LinearSVC"
"828","El reloj está bonito y funciona, sin embargo llegó con un pequeño golpe.","reloj bonito funcionar sin embargo pequeño golpe","mixto","mixto","LinearSVC"
"889","La neta sí me gustó la crema; se siente de buena calidad y cumple con lo que promete.","neta gustar crema buen calidad cumplir prometer","positivo","positivo","LinearSVC"
"99","Lo compré para uso diario y hasta ahora ha funcionado excelente, no se ha calentado, no presentó fallas y llegó en perfectas condiciones.","comprar uso diario funcionar excelente no calentar no presentar falla perfecto condición","positivo","positivo","LinearSVC"
"290","No sirve el juguete, fue dinero perdido.","no servir juguete dinero perdido","negativo","negativo","LinearSVC"
"538","El vendedor contestó, aunque tardó bastante en solucionar la duda.","vendedor contestar aunque tardar solucionar duda","mixto","mixto","LinearSVC"
"798","No cumplió mis expectativas y el soporte tampoco resolvió el problema.","no cumplir expectativa soporte resolver problema","negativo","negativo","LinearSVC"
"580","El jabón es útil, aunque venía incompleto.","jabón útil aunque venir incompleto","mixto","mixto","LinearSVC"
"159","Nada que ver.","nada que ver","negativo","neutro","LinearSVC"
"225","No carga bien, se desconecta a cada rato.","no carga bien desconectar rato","negativo","negativo","LinearSVC"
"279","El tabla para picar venía abierto y con señales de uso.","tabla picar venir abierto señal uso","negativo","negativo","LinearSVC"
"57","Muy buena experiencia, no tuve ningún inconveniente.","buen experiencia no inconveniente","positivo","positivo","LinearSVC"
"110","pues El rasuradora llegó rápido y funciona muy bien.","rasuradora rápido funcionar bien","positivo","positivo","LinearSVC"
"650","Decepcionante: mala calidad, mal acabado y cero confianza.","decepcionante malo calidad acabado confianza","negativo","negativo","LinearSVC"
"807","Llegó.","llegar","neutro","neutro","LinearSVC"
"639","El tamaño es mediano, similar al de la descripción.","tamaño mediano similar descripción","neutro","neutro","LinearSVC"
"654","El power bank llegó incompleto y no pude usarlo como debería.","power bank incompleto no deber","negativo","negativo","LinearSVC"
"930","Pensé que sería aceptable por el precio, pero fue una mala compra.","pensar aceptable precio pero malo compra","negativo","negativo","LinearSVC"
"337","La talla corresponde a la guía publicada.","talla corresponder guía publicado","neutro","neutro","LinearSVC"
"894","Funciona a ratos; para mí eso ya es una falla importante.","funcionar rato falla importante","negativo","negativo","LinearSVC"
"295","la verdad El teclado se rompió al poco tiempo de usarlo. jeje","teclado romper tiempo jeje","negativo","negativo","LinearSVC"
"329","El envío llegó dentro del tiempo estimado.","envío tiempo estimado","neutro","neutro","LinearSVC"
"336","El artículo es adecuado para un uso sencillo.","artículo adecuar uso sencillo","neutro","neutro","LinearSVC"
"757","Aunque tenía mis dudas por algunas reseñas, la crema me salió excelente.","aunque duda reseña crema salir excelente","positivo","positivo","LinearSVC"
"500","Funciona como esperaba, aunque hace más ruido del normal.","funcionar esperar aunque ruido normal","mixto","mixto","LinearSVC"
"610","Aunque se veía bien en las fotos, la bocina llegó con detalles y no funciona correctamente.","aunque bien foto bocina detalle no funcionar correctamente","negativo","negativo","LinearSVC"
"365","El producto puede utilizarse para lo que fue comprado.","producto comprar","neutro","positivo","LinearSVC"
"627","El envío fue entregado por la tarde.","envío entregar tarde","neutro","neutro","LinearSVC"
"935","Aún no puedo decir si funciona bien o mal; apenas lo abrí.","no funcionar bien abrí","neutro","neutro","LinearSVC"
"725","Aunque la entrega tardó un poco, el termo llegó en buenas condiciones y funciona perfecto.","aunque entrega tardar termo buena condición funcionar perfecto","positivo","positivo","LinearSVC"
"83","El producto llegó sin fallas y listo para usar.","producto sin falla listo","positivo","neutro","LinearSVC"
"218","Estoy muy decepcionado, no volvería a comprar aquí.","decepcionado no volver comprar","negativo","positivo","LinearSVC"
"503","El juguete está bonito, aunque una parte se desprende fácil.","juguete bonito aunque desprender fácil","mixto","mixto","LinearSVC"
"774","El empaque estaba bien, pero por dentro venía dañado.","empaque bien pero venir dañado","negativo","negativo","LinearSVC"
"707","Llegó.","llegar","neutro","neutro","LinearSVC"
"47","El producto cumple muy bien con lo que promete.","producto cumplir bien prometer","positivo","positivo","LinearSVC"
"187","Me llegó un producto diferente al que compré.","producto comprar","negativo","positivo","LinearSVC"
"718","No sirve.","no servir","negativo","negativo","LinearSVC"
"78","El empaque estaba cerrado y bien protegido.","empaque cerrado bien protegido","positivo","neutro","LinearSVC"
"539","El artículo llegó bien, pero la calidad del accesorio extra es baja.","artículo bien pero calidad accesorio extra bajo","mixto","mixto","LinearSVC"
"447","El pelota llegó completo y sin observaciones.","pelota completo sin observación","neutro","neutro","LinearSVC"
"615","Ya lo recibí.","recibir","neutro","neutro","LinearSVC"
"384","El producto es estándar dentro de su tipo.","producto estándar tipo","neutro","neutro","LinearSVC"
"634","No me gustó nada; se siente frágil y falla seguido.","no gustar frágil fallar seguido","negativo","negativo","LinearSVC"
"375","El artículo se ve igual al mostrado en la publicación.","artículo mostrado publicación","neutro","neutro","LinearSVC"
"662","Se supone que era nuevo, pero parecía usado.","suponer pero parecer usado","negativo","negativo","LinearSVC"
"105","Buen producto, el gel cumple con lo prometido.","buen producto gel cumplir prometido","positivo","positivo","LinearSVC"
"644","No está mal, pero tampoco diría que es excelente.","no pero excelente","mixto","mixto","LinearSVC"
"534","Me gustó la rapidez del envío, pero el producto tenía un golpe.","gustar rapidez envío pero producto golpe","mixto","mixto","LinearSVC"
"700","Tiene buen desempeño, pero el empaque dejó mucho que desear.","buen desempeño pero empaque desear","mixto","mixto","LinearSVC"
"993","Aunque tenía mis dudas por algunas reseñas, la rasuradora me salió excelente.","aunque duda reseña rasuradora salir excelente","positivo","positivo","LinearSVC"
"296","No me gustó el mouse, se siente barato.","no gustar mouse barato","negativo","negativo","LinearSVC"
"270","ok, Muy mala calidad del protector solar, no lo recomiendo. en fin","malo calidad protector solar no recomeir","negativo","negativo","LinearSVC"
"862","Se supone que era nuevo, pero parecía usado.","suponer pero parecer usado","negativo","negativo","LinearSVC"
"142","Muy buen reloj inteligente, no tuve fallas ni detalles. jeje","buen reloj inteligente no falla detalle jeje","positivo","positivo","LinearSVC"
"864","Funciona mejor de lo que esperaba, aunque el manual viene muy confuso.","funcionar mejor esperar aunque manual venir confuso","mixto","mixto","LinearSVC"
"145","La compra del reloj inteligente fue sencilla y llegó sin problemas.","compra reloj inteligente sencillo sin problema","positivo","positivo","LinearSVC"
"743","No tengo una opinión todavía, solo confirmo que ya recibí el producto.","no opinión confirmar recibir producto","neutro","neutro","LinearSVC"
"607","Recibí la licuadora hoy; todavía no hago pruebas.","recibir licuadora no prueba","neutro","neutro","LinearSVC"
"424","El juguete funciona de manera regular.","juguete funcionar regular","neutro","neutro","LinearSVC"
"860","Llegó rápido y bien empacado, pero venía un accesorio faltante.","rápido bien empacado pero venir accesorio faltante","mixto","mixto","LinearSVC"
"866","Se calentó demasiado y preferí dejar de usarlo.","calentar preferir dejar","negativo","negativo","LinearSVC"
"113","La compra del tenis fue sencilla y llegó sin problemas.","compra tenis sencillo sin problema","positivo","positivo","LinearSVC"
"674","El empaque estaba bien, pero por dentro venía dañado.","empaque bien pero venir dañado","negativo","negativo","LinearSVC"
"721","No se siente barato; al contrario, está bastante bien hecho.","no barato contrario bien","positivo","positivo","LinearSVC"
"297","ok, El peluche llegó incompleto y nadie resolvió. jeje","peluche incompleto resolver jeje","negativo","negativo","LinearSVC"
"879","La caja presenta información del modelo y número de serie.","caja presentar información modelo número serie","neutro","neutro","LinearSVC"
"525","La compra fue buena, aunque la atención tardó en contestar.","compra buen aunque atención tardar contestar","mixto","mixto","LinearSVC"
"891","El teclado llegó en una caja color café y contiene los accesorios mostrados.","teclado caja color café contener accesorio mostrado","neutro","neutro","LinearSVC"
"647","Viene sin baterías incluidas.","venir sin batería incluido","neutro","neutro","LinearSVC"
"655","Lo pedí en color negro y llegó en color negro.","pedir color negro color negro","neutro","neutro","LinearSVC"
"561","Me gustó el precio del muñeca, pero el material no tanto.","gustar precio muñeca pero material no","mixto","mixto","LinearSVC"
"91","El artículo es resistente y se ve muy bien.","artículo resistente bien","positivo","positivo","LinearSVC"
"85","El set de cocina llegó completo y muy bien empacado.","set cocina completo bien empacado","positivo","positivo","LinearSVC"
"152","No sirve.","no servir","negativo","negativo","LinearSVC"
"510","El producto es bonito, pero no coincide totalmente con la foto.","producto bonito pero no coincidir totalmente foto","mixto","mixto","LinearSVC"
"118","La compra del plancha de cabello fue sencilla y llegó sin problemas.","compra plancha cabello sencillo sin problema","positivo","positivo","LinearSVC"
"651","La publicación indica una garantía y el paquete incluye una hoja con instrucciones.","publicación indicar garantía paquete incluir hoja instrucción","neutro","neutro","LinearSVC"
"301","Normal.","normal","neutro","neutro","LinearSVC"
"851","La publicación indica una garantía y el paquete incluye una hoja con instrucciones.","publicación indicar garantía paquete incluir hoja instrucción","neutro","neutro","LinearSVC"
"51","Me gustó mucho, sin duda volvería a comprar.","gustar sin duda volver comprar","positivo","positivo","LinearSVC"
"972","No me arrepiento de comprarlo, pero sí esperaba un poco más de calidad.","no arrepientir pero esperar calidad","mixto","mixto","LinearSVC"
"670","Nada que ver con la descripción, no lo recomiendo.","descripción no recomeir","negativo","negativo","LinearSVC"
"937","No me arrepiento de la compra, ha funcionado mejor de lo que esperaba.","no arrepientir compra funcionar mejor esperar","positivo","positivo","LinearSVC"
"786","La calidad es muy mala y el material se siente corriente.","calidad malo material corriente","negativo","negativo","LinearSVC"
"32","Los audífonos se escuchan muy bien y la batería dura bastante.","audífono escuchar bien batería duro","positivo","mixto","LinearSVC"
"585","sinceramente Me gustó el figura, aunque tardó en llegar.","sinceramente gustar figura aunque tardar llegar","mixto","mixto","LinearSVC"
"308","Llegó.","llegar","neutro","neutro","LinearSVC"
"783","Llegó junto con un cable y una guía rápida.","cable guía rápido","neutro","neutro","LinearSVC"
"343","El pedido fue entregado en el domicilio registrado.","pedido entregar domicilio registrado","neutro","neutro","LinearSVC"
"92","Muy buena calidad, lo recomiendo ampliamente.","buen calidad recomeir ampliamente","positivo","positivo","LinearSVC"
