id,texto_original,etiqueta_original,texto_limpio
192,"Buen artículo, aunque el embalaje podría proteger mejor el producto.",mixto,buen articulo aunque el embalaje podria proteger mejor el producto
193,"Me satisface el producto, pero demoró más de dos semanas en llegar.",mixto,me satisface el producto pero demoro mas de dos semanas en llegar
194,"El artículo tiene buena calidad, aunque uno de los accesorios vino defectuoso.",mixto,el articulo tiene buena calidad aunque uno de los accesorios vino defectuoso
195,"Buen precio, pero la calidad del material deja algo que desear.",mixto,buen precio pero la calidad del material deja algo que desear
196,"El producto es práctico, aunque el vendedor no respondió mis preguntas a tiempo.",mixto,el producto es practico aunque el vendedor no respondio mis preguntas a tiempo
197,"Funciona como se describe, pero el color llegó diferente al pedido.",mixto,funciona como se describe pero el color llego diferente al pedido
198,"Me gustó la presentación, aunque el producto tiene algunas limitaciones.",mixto,me gusto la presentacion aunque el producto tiene algunas limitaciones
199,"Es un buen producto, aunque llegó con el empaque deteriorado.",mixto,es un buen producto aunque llego con el empaque deteriorado
200,"La calidad es aceptable, pero el precio me parece algo elevado.",mixto,la calidad es aceptable pero el precio me parece algo elevado
201,"El artículo es útil, pero esperaba mejor acabado por ese costo.",mixto,el articulo es util pero esperaba mejor acabado por ese costo
202,"Buen vendedor y rápido envío, aunque el producto tiene un defecto menor.",mixto,buen vendedor y rapido envio aunque el producto tiene un defecto menor
203,"El producto cumple, aunque las instrucciones de uso son escasas.",mixto,el producto cumple aunque las instrucciones de uso son escasas
204,"Me llegó en buen estado, pero la conexión falla ocasionalmente.",mixto,me llego en buen estado pero la conexion falla ocasionalmente
205,"Buena compra por el precio, aunque el diseño podría mejorar.",mixto,buena compra por el precio aunque el diseno podria mejorar
206,"El artículo es correcto, aunque me tardé en configurarlo por falta de información.",mixto,el articulo es correcto aunque me tarde en configurarlo por falta de informacion
207,"El producto es bonito, pero la resistencia no es la mejor.",mixto,el producto es bonito pero la resistencia no es la mejor
208,"Envío puntual, aunque el producto presenta pequeñas fallas de fábrica.",mixto,envio puntual aunque el producto presenta pequenas fallas de fabrica
209,"Buen artículo en general, aunque la caja llegó algo maltratada.",mixto,buen articulo en general aunque la caja llego algo maltratada
210,"El producto es funcional, pero le falta acabado en algunos detalles.",mixto,el producto es funcional pero le falta acabado en algunos detalles
211,"Me gustó, aunque no era exactamente lo que esperaba por el precio pagado.",mixto,me gusto aunque no era exactamente lo que esperaba por el precio pagado
212,"Es un producto decente, aunque hay mejores opciones en el mercado.",mixto,es un producto decente aunque hay mejores opciones en el mercado
213,"Llegó a tiempo, pero el producto tiene un olor raro que no desaparece.",mixto,llego a tiempo pero el producto tiene un olor raro que no desaparece
214,"La calidad es buena, aunque el servicio de entrega dejó mucho que desear.",mixto,la calidad es buena aunque el servicio de entrega dejo mucho que desear
215,"El artículo funciona bien, aunque uno de los botones es poco intuitivo.",mixto,el articulo funciona bien aunque uno de los botones es poco intuitivo
216,"Buen producto para uso básico, aunque no es apto para uso intensivo.",mixto,buen producto para uso basico aunque no es apto para uso intensivo
217,"Me gustó el acabado, pero el producto tardó demasiado en llegar.",mixto,me gusto el acabado pero el producto tardo demasiado en llegar
218,"El artículo es como se describe, aunque el vendedor no fue muy comunicativo.",mixto,el articulo es como se describe aunque el vendedor no fue muy comunicativo
219,"Funciona correctamente, aunque el primer día tuvo algunos fallos menores.",mixto,funciona correctamente aunque el primer dia tuvo algunos fallos menores
220,"Buen precio, aunque la calidad del cable incluido es bastante deficiente.",mixto,buen precio aunque la calidad del cable incluido es bastante deficiente
221,"El producto llegó completo y funcional, aunque el empaque estaba dañado.",mixto,el producto llego completo y funcional aunque el empaque estaba danado
222,"El pedido fue puntual, aunque el producto tiene menos funciones de las esperadas.",mixto,el pedido fue puntual aunque el producto tiene menos funciones de las esperadas
223,"Me gustó el artículo, pero el proceso de devolución fue complicado.",mixto,me gusto el articulo pero el proceso de devolucion fue complicado
224,"El producto tiene buena presentación, aunque la durabilidad es cuestionable.",mixto,el producto tiene buena presentacion aunque la durabilidad es cuestionable
225,"Buena calidad en general, aunque tuve que esperar una semana extra.",mixto,buena calidad en general aunque tuve que esperar una semana extra
226,"El artículo es correcto, llegó como se esperaba.",neutro,el articulo es correcto llego como se esperaba
227,"Recibí el pedido sin novedades, el producto es estándar.",neutro,recibi el pedido sin novedades el producto es estandar
228,"El producto es normal, funciona como cualquier artículo de esta categoría.",neutro,el producto es normal funciona como cualquier articulo de esta categoria
229,"Llegó el tiempo estimado, el artículo no tiene nada especial.",neutro,llego el tiempo estimado el articulo no tiene nada especial
230,"El producto cumple lo básico, ni más ni menos.",neutro,el producto cumple lo basico ni mas ni menos
231,"Artículo recibido correctamente, el vendedor cumplió con los tiempos.",neutro,articulo recibido correctamente el vendedor cumplio con los tiempos
232,"El artículo no me sorprendió, pero tampoco me decepcionó.",neutro,el articulo no me sorprendio pero tampoco me decepciono
233,"El producto es funcional, no más no menos.",neutro,el producto es funcional no mas no menos
234,"Recibí el artículo a tiempo y en buen estado, todo en orden.",neutro,recibi el articulo a tiempo y en buen estado todo en orden
235,El producto es correcto para uso básico.,neutro,el producto es correcto para uso basico
236,"El envío fue normal, el producto llega como se esperaba.",neutro,el envio fue normal el producto llega como se esperaba
237,"Es un producto estándar, cumple lo que promete sin sobresalir.",neutro,es un producto estandar cumple lo que promete sin sobresalir
238,El artículo llegó en el tiempo indicado y sin problemas.,neutro,el articulo llego en el tiempo indicado y sin problemas
239,"El producto es adecuado, sin grandes virtudes ni defectos.",neutro,el producto es adecuado sin grandes virtudes ni defectos
240,"Llegó bien, es lo que se esperaba por ese precio.",neutro,llego bien es lo que se esperaba por ese precio
241,"El artículo es correcto, el envío fue puntual.",neutro,el articulo es correcto el envio fue puntual
242,El producto cumple su función básica sin ningún problema.,neutro,el producto cumple su funcion basica sin ningun problema
243,"Recibí el artículo en buenas condiciones, nada fuera de lo normal.",neutro,recibi el articulo en buenas condiciones nada fuera de lo normal
244,"El producto es lo que se describe, sin sorpresas.",neutro,el producto es lo que se describe sin sorpresas
245,"El artículo es adecuado, no tiene nada especial.",neutro,el articulo es adecuado no tiene nada especial
246,El producto llegó bien empacado y funciona correctamente.,neutro,el producto llego bien empacado y funciona correctamente
247,El envío fue normal y el artículo está en buen estado.,neutro,el envio fue normal y el articulo esta en buen estado
248,"El producto cumple con lo descrito, sin más ni menos.",neutro,el producto cumple con lo descrito sin mas ni menos
249,"Es un artículo correcto, sin defectos pero tampoco sin destacar.",neutro,es un articulo correcto sin defectos pero tampoco sin destacar
250,"El producto llegó a tiempo, todo correcto.",neutro,el producto llego a tiempo todo correcto
251,El artículo es funcional y llegó en las condiciones esperadas.,neutro,el articulo es funcional y llego en las condiciones esperadas
252,"Producto recibido en buen estado, el envío fue estándar.",neutro,producto recibido en buen estado el envio fue estandar
253,"El artículo es normal, cumple su función sin sorprender.",neutro,el articulo es normal cumple su funcion sin sorprender
254,El producto es lo que se espera por ese precio.,neutro,el producto es lo que se espera por ese precio
255,Llegó en el tiempo prometido y sin problemas adicionales.,neutro,llego en el tiempo prometido y sin problemas adicionales
256,"El artículo es correcto, el vendedor cumplió con el pedido.",neutro,el articulo es correcto el vendedor cumplio con el pedido
257,"El producto funciona bien, nada extraordinario.",neutro,el producto funciona bien nada extraordinario
258,"El envío fue puntual, el artículo llegó en buen estado.",neutro,el envio fue puntual el articulo llego en buen estado
259,"Es un producto estándar, hace lo que promete.",neutro,es un producto estandar hace lo que promete
260,"Recibí el artículo sin problemas, todo según lo esperado.",neutro,recibi el articulo sin problemas todo segun lo esperado
261,El producto es adecuado para el uso cotidiano.,neutro,el producto es adecuado para el uso cotidiano
262,"Llegó bien y funciona, sin nada que resaltar.",neutro,llego bien y funciona sin nada que resaltar
263,"El artículo es correcto, todo llegó en orden.",neutro,el articulo es correcto todo llego en orden
