"id","etiqueta_original","texto_original","top_terminos_tfidf"
"47","positivo","El producto cumple muy bien con lo que promete.","prometer:1.2840, cumplir:0.9336, bien:0.8209, producto:0.7953"
"48","positivo","Llegó antes de la fecha indicada, muy buen servicio.","servicio:1.6306, fecha:1.4015, indicado:1.2044, buen:0.8440"
"49","positivo","Todo venía completo, con accesorios y manual.","manual:1.3360, accesorio:1.2161, completo:1.0678, venir:0.9336"
"50","positivo","El artículo está bonito y se nota que es durable.","durable:1.7025, notar:1.6306, bonito:1.2161, artículo:1.0042"
"51","positivo","Me gustó mucho, sin duda volvería a comprar.","duda:1.1212, volver:1.1022, comprar:0.9226, gustar:0.7237, sin:0.6863"
"52","positivo","Buena relación calidad precio, lo recomiendo.","relación:1.4431, recomeir:0.9015, precio:0.7803, calidad:0.7029, buen:0.6752"
"53","positivo","El producto llegó limpio, nuevo y en buenas condiciones.","limpio:1.8039, buena:1.4907, condición:1.2840, producto:0.7953"
"54","positivo","La licuadora tiene buena potencia y funciona excelente.","potencia:1.3045, licuadora:1.1022, excelente:0.9301, buen:0.6752, funcionar:0.6398"
"55","positivo","La camiseta tiene buen color y la tela está suave.","suave:1.4431, camiseta:1.2234, tela:1.2234, color:0.9380, buen:0.6752"
"56","positivo","El producto se instaló rápido y funciona al cien.","instalar:1.8039, rápido:1.0488, funcionar:0.7998, producto:0.7953"
"57","positivo","Muy buena experiencia, no tuve ningún inconveniente.","inconveniente:1.7025, experiencia:1.5292, buen:0.8440, no:0.5919"
"58","positivo","El empaque venía perfecto y el artículo sin daños.","daño:1.1350, perfecto:0.8274, empaque:0.8107, artículo:0.6695, venir:0.6224"
"59","positivo","El pedido llegó rápido y exactamente como lo solicité.","solicitar:1.8039, exactamente:1.6306, pedido:1.1354, rápido:1.0488"
"60","positivo","Me gustó la calidad del material, se siente firme.","firme:1.8039, material:1.0678, gustar:0.9046, calidad:0.8786"
"61","positivo","El producto es práctico y fácil de usar.","práctico:1.7813, fácil:1.6918, producto:1.0605"
"62","positivo","Todo correcto, el pago fue rápido y el envío también.","pago:1.6306, correcto:1.5292, envío:1.2161, rápido:1.0488"
"63","positivo","Excelente producto para el precio que tiene.","excelente:1.5502, precio:1.3005, producto:1.0605"
"64","positivo","El artículo llegó muy bien cuidado, sin rayones.","cuidado:1.2599, rayón:1.1212, artículo:0.8034, sin:0.6863, bien:0.6568"
"65","positivo","La talla coincidió perfectamente con la guía.","perfectamente:1.7025, guía:1.4907, talla:1.4573, coincidir:1.1933"
"66","positivo","La batería dura bastante, mejor de lo que esperaba.","duro:1.2840, batería:1.2283, esperar:1.0255, mejor:1.0255"
"67","positivo","La presentación del producto es muy buena.","presentación:1.5502, buen:1.1254, producto:1.0605"
"68","positivo","El vendedor atendió rápido y resolvió mis dudas.","atender:1.4431, vendedor:1.1423, duda:1.1212, resolver:1.0848, rápido:0.8390"
"69","positivo","La entrega fue muy rápida y el producto excelente.","excelente:1.1627, entrega:1.1441, rápido:1.0488, producto:0.7953"
"70","positivo","Estoy contento con la compra, funciona muy bien.","contento:1.8039, compra:0.9336, bien:0.8209, funcionar:0.7998"
"71","positivo","El producto es bonito, útil y de buena calidad.","útil:1.0688, bonito:0.9728, calidad:0.7029, buen:0.6752, producto:0.6363"
"72","positivo","Llegó en tiempo y forma, todo sin problemas.","formar:1.8039, tiempo:1.2283, problema:1.1441, sin:0.8579"
"73","positivo","Me sorprendió la calidad, está mejor de lo que pensé.","sorprender:1.4573, pensar:1.2283, mejor:1.0255, calidad:0.8786"
"74","positivo","Es justo lo que buscaba, cumple perfectamente.","buscar:1.8039, justo:1.7025, perfectamente:1.7025, cumplir:0.9336"
"75","positivo","Muy recomendable, el artículo llegó en perfecto estado.","recomendable:2.0390, perfecto:1.6548, artículo:1.3390"
"76","positivo","La app mostró bien el seguimiento y el pedido llegó rápido.","seguimiento:1.0499, mostrar:0.9344, app:0.9040, pedido:0.7569, rápido:0.6992"
"77","positivo","El producto se ve original y funciona correctamente.","original:1.6306, correctamente:1.3360, funcionar:0.7998, producto:0.7953"
"78","positivo","El empaque estaba cerrado y bien protegido.","protegido:1.4907, cerrado:1.4279, empaque:1.2161, bien:0.8209"
"79","positivo","La compra fue muy buena, el producto salió excelente.","salir:0.9728, excelente:0.9301, compra:0.7469, buen:0.6752, producto:0.6363"
"80","positivo","Me gustó porque es fácil de usar y se ve resistente.","fácil:1.6918, resistente:1.6918, gustar:1.2061"
"81","positivo","El envío fue seguro y el paquete llegó completo.","seguro:1.7025, envío:1.2161, paquete:1.1532, completo:1.0678"
"82","positivo","La calidad del producto es muy buena por el precio.","precio:0.9754, calidad:0.8786, buen:0.8440, producto:0.7953"
"83","positivo","El producto llegó sin fallas y listo para usar.","listo:1.6306, falla:1.2283, sin:0.8579, producto:0.7953"
"84","positivo","La chamarra está cómoda y se ve de buena calidad.","cómodo:1.5292, chamarra:1.4279, calidad:0.8786, buen:0.8440"
"85","positivo","El set de cocina llegó completo y muy bien empacado.","cocina:1.4431, set:1.3045, empacado:1.0539, completo:0.8542, bien:0.6568"
"86","positivo","La crema funciona bien y llegó en buen estado.","crema:1.3360, buen:0.8440, bien:0.8209, funcionar:0.7998"
"87","positivo","La bocina tiene buen volumen y buen diseño.","volumen:1.3620, buen:1.3505, diseño:1.0688, bocina:1.0539"
"88","positivo","El producto cumplió todas mis expectativas.","expectativa:1.8079, cumplir:1.2448, producto:1.0605"
"89","positivo","Excelente compra, no tengo ninguna queja.","queja:1.4573, excelente:1.1627, compra:0.9336, no:0.5919"
"90","positivo","Todo llegó perfecto, se nota el cuidado en el envío.","notar:1.6306, cuidado:1.5748, perfecto:1.2411, envío:1.2161"
"91","positivo","El artículo es resistente y se ve muy bien.","resistente:1.6918, artículo:1.3390, bien:1.0946"
"92","positivo","Muy buena calidad, lo recomiendo ampliamente.","ampliamente:1.8039, recomeir:1.1269, calidad:0.8786, buen:0.8440"
"93","positivo","El pedido llegó antes de lo prometido y sin detalles.","prometido:1.6306, detalle:1.1354, pedido:1.1354, sin:0.8579"
"94","positivo","Me gustó mucho el producto, volvería a pedirlo.","volver:1.8370, gustar:1.2061, producto:1.0605"
"95","positivo","El servicio fue rápido y el producto llegó excelente.","servicio:1.6306, excelente:1.1627, rápido:1.0488, producto:0.7953"
"96","positivo","La compra fue mejor de lo que esperaba porque el producto venía bien protegido, llegó antes de la fecha marcada y desde el primer uso funcionó correctamente.","marcado:0.5675, protegido:0.4969, fecha:0.4672, correctamente:0.4453, uso:0.3756"
"97","positivo","Aunque no conocía la tienda, la experiencia fue muy buena: el pago se realizó sin problemas, el seguimiento fue claro y el artículo llegó completo.","pago:0.5930, seguimiento:0.5727, tienda:0.5727, experiencia:0.5561, problema:0.4161"
"98","positivo","El producto me sorprendió bastante porque se siente resistente, tiene buen acabado y el precio fue razonable para la calidad que ofrece.","ofrecer:0.8017, razonable:0.8017, sorprender:0.6477, resistente:0.5639, acabado:0.5405"
"99","positivo","Lo compré para uso diario y hasta ahora ha funcionado excelente, no se ha calentado, no presentó fallas y llegó en perfectas condiciones.","diario:0.4969, calentar:0.4672, presentar:0.4520, condición:0.4280, perfecto:0.4137"
"100","positivo","Me agradó que el paquete llegara cerrado y con buena protección; además, el artículo era exactamente como aparecía en la publicación.","agradar:0.6810, exactamente:0.6522, protección:0.6522, aparecer:0.5712, cerrado:0.5712"
"101","positivo","Me gustó el cargador, se ve resistente y de buena calidad.","cargador:1.0539, resistente:1.0151, gustar:0.7237, calidad:0.7029, buen:0.6752"
"102","positivo","Buen producto, el plancha de cabello cumple con lo prometido. jeje","prometido:0.9318, cabello:0.8999, plancha:0.8009, jeje:0.7873, cumplir:0.5335"
"103","positivo","La compra del pantalón fue sencilla y llegó sin problemas.","pantalón:1.1022, sencillo:1.0272, problema:0.9153, compra:0.7469, sin:0.6863"
"104","positivo","pues Todo bien con el peluche, llegó completo.","peluche:2.0998, completo:1.4237, bien:1.0946"
"105","positivo","Buen producto, el gel cumple con lo prometido.","prometido:1.3045, gel:1.2599, cumplir:0.7469, buen:0.6752, producto:0.6363"
"106","positivo","La compra del jabón fue sencilla y llegó sin problemas.","jabón:1.1212, sencillo:1.0272, problema:0.9153, compra:0.7469, sin:0.6863"
"107","positivo","El muñeca superó mis expectativas, lo recomiendo.","muñeca:1.5292, superar:1.4907, expectativa:1.3560, recomeir:1.1269"
"108","positivo","ok, El vaso tiene buen precio y buena presentación.","buen:1.3505, vaso:1.3045, presentación:0.9301, precio:0.7803"
"109","positivo","El rompecabezas está mejor de lo que esperaba.","rompecabezas:2.2700, esperar:1.3674, mejor:1.3674"
"110","positivo","pues El rasuradora llegó rápido y funciona muy bien.","rasuradora:1.4279, rápido:1.0488, bien:0.8209, funcionar:0.7998"
"111","positivo","mmm Me gustó el pelota, se ve resistente y de buena calidad.!!!","pelota:1.0499, mmm:0.9716, resistente:0.8459, gustar:0.6030, calidad:0.5857"
"112","positivo","La compra del rasuradora fue sencilla y llegó sin problemas.!!!","rasuradora:1.1423, sencillo:1.0272, problema:0.9153, compra:0.7469, sin:0.6863"
"113","positivo","La compra del tenis fue sencilla y llegó sin problemas.","tenis:1.0848, sencillo:1.0272, problema:0.9153, compra:0.7469, sin:0.6863"
"114","positivo","Todo bien con el pantalón, llegó completo.","pantalón:1.8370, completo:1.4237, bien:1.0946"
"115","positivo","El pantalón llegó rápido y funciona muy bien.","pantalón:1.3777, rápido:1.0488, bien:0.8209, funcionar:0.7998"
"116","positivo","mmm Muy buen gorra, no tuve fallas ni detalles. :)","gorra:0.9938, mmm:0.9716, falla:0.8188, detalle:0.7569, buen:0.5627"
"117","positivo","Muy buen shampoo, no tuve fallas ni detalles.","shampoo:1.3045, falla:0.9826, detalle:0.9083, buen:0.6752, no:0.4735"
"118","positivo","La compra del plancha de cabello fue sencilla y llegó sin problemas.","cabello:1.0499, plancha:0.9344, sencillo:0.8560, problema:0.7628, compra:0.6224"
"119","positivo","El drone infantil está mejor de lo que esperaba.","drone:1.5292, infantil:1.5292, esperar:1.0255, mejor:1.0255"
"120","positivo","La compra del cable USB fue sencilla y llego sin problemas.","llego:0.8739, usb:0.8159, cable:0.7337, sencillo:0.7337, problema:0.6538"
"121","positivo","Me gustó el lámpara led, se ve resistente y de buena calidad.","led:1.1350, lámpara:1.0195, resistente:0.8459, gustar:0.6030, calidad:0.5857"
"122","positivo","ok, Muy buen molde, no tuve fallas ni detalles. pero bueno","molde:0.8999, falla:0.7019, bueno:0.6488, detalle:0.6488, buen:0.4823"
"123","positivo","Todo bien con el audífonos, llegó completo.","audífono:1.8370, completo:1.4237, bien:1.0946"
"124","positivo","El power bank superó mis expectativas, lo recomiendo. pero bueno","superar:0.8518, bank:0.7748, expectativa:0.7748, power:0.7748, bueno:0.6488"
"125","positivo","Todo bien con el jabón, llegó completo. :(","jabón:1.8687, completo:1.4237, bien:1.0946"
"126","positivo","mmm Todo bien con el molde, llegó completo.!!!","molde:1.5748, mmm:1.4573, completo:1.0678, bien:0.8209"
"127","positivo","Me gustó el rompecabezas, se ve resistente y de buena calidad.","rompecabeza:1.4431, resistente:1.0151, gustar:0.7237, calidad:0.7029, buen:0.6752"
"128","positivo","Excelente sudadera, llegó bien empacado y listo para usar.","listo:1.3045, sudadera:1.2599, empacado:1.0539, excelente:0.9301, bien:0.6568"
"129","positivo","Me gustó el jabón, se ve resistente y de buena calidad.","jabón:1.1212, resistente:1.0151, gustar:0.7237, calidad:0.7029, buen:0.6752"
"130","positivo","ok, Todo bien con el tenis, llegó completo. :)","tenis:1.8079, completo:1.4237, bien:1.0946"
"131","positivo","mmm La compra del perfume fue sencilla y llegó sin problemas. pero bueno","mmmir:0.8513, perfume:0.7139, sencillo:0.6420, problema:0.5721, bueno:0.5677"
"132","positivo","El power bank tiene buen precio y buena presentación. la neta","buen:0.9646, bank:0.7748, power:0.7748, neta:0.6819, presentación:0.6644"
"133","positivo","El pantalón está mejor de lo que esperaba. :)","pantalón:1.8370, esperar:1.3674, mejor:1.3674"
"134","positivo","El mouse superó mis expectativas, lo recomiendo.","superar:1.4907, expectativa:1.3560, mouse:1.3560, recomeir:1.1269"
"135","positivo","El mochila tiene buen precio y buena presentación.","buen:1.3505, mochila:1.0848, presentación:0.9301, precio:0.7803"
"136","positivo","El freidora está mejor de lo que esperaba.","freidora:1.9038, esperar:1.3674, mejor:1.3674"
"137","positivo","ok, Muy buen chamarra, no tuve fallas ni detalles. la neta","chamarra:0.9519, falla:0.8188, neta:0.7955, detalle:0.7569, buen:0.5627"
"138","positivo","El secadora tiene buen precio y buena presentación.","buen:1.3505, secadora:1.2599, presentación:0.9301, precio:0.7803"
"139","positivo","la verdad El tablet superó mis expectativas, lo recomiendo. en fin","tablet:1.5748, superar:1.4907, expectativa:1.3560, recomeir:1.1269"
"140","positivo","la verdad Muy buen camiseta, no tuve fallas ni detalles.","camiseta:1.2234, falla:0.9826, detalle:0.9083, buen:0.6752, no:0.4735"
"141","positivo","Todo bien con el tablet, llegó completo.","tablet:2.0998, completo:1.4237, bien:1.0946"
"142","positivo","Muy buen reloj inteligente, no tuve fallas ni detalles. jeje","inteligente:0.8518, jeje:0.7873, reloj:0.7251, falla:0.7019, detalle:0.6488"
"143","positivo","El blusa tiene buen precio y buena presentación.","buen:1.3505, blusa:1.2599, presentación:0.9301, precio:0.7803"
"144","positivo","Todo bien con el rasuradora, llegó completo.","rasuradora:1.9038, completo:1.4237, bien:1.0946"
"145","positivo","La compra del reloj inteligente fue sencilla y llegó sin problemas.","inteligente:0.9938, sencillo:0.8560, reloj:0.8459, problema:0.7628, compra:0.6224"
"146","positivo","sinceramente El reloj inteligente superó mis expectativas, lo recomiendo. en fin","inteligente:0.9938, superar:0.9938, sinceramente:0.9344, expectativa:0.9040, reloj:0.8459"
"147","positivo","Todo bien con el tenis, llegó completo.!!!","tenis:1.8079, completo:1.4237, bien:1.0946"
"148","positivo","la verdad La compra del set de bloques fue sencilla y llegó sin problemas.","bloque:1.1350, set:1.0871, sencillo:0.8560, problema:0.7628, compra:0.6224"
"149","positivo","Muy buen rasuradora, no tuve fallas ni detalles.","rasuradora:1.1423, falla:0.9826, detalle:0.9083, buen:0.6752, no:0.4735"
"150","positivo","Excelente mochila, llegó bien empacado y listo para usar.","listo:1.3045, mochila:1.0848, empacado:1.0539, excelente:0.9301, bien:0.6568"
"151","negativo","Malo.","malo:4.2199"
"152","negativo","No sirve.","servir:2.2215, no:1.1837"
"153","negativo","Pésimo.","pésimo:5.9628"
"154","negativo","No llegó.","no:2.3675"
"155","negativo","Muy mal.","mal:3.0585, mucho:3.0585"
"156","negativo","Defectuoso.","defectuoso:6.2993"
"157","negativo","No prende.","prender:2.8558, no:1.1837"
"158","negativo","Horrible.","horrible:7.2156"
"159","negativo","Nada que ver.","nada:2.4052, ver:2.4052, que:2.2700"
"160","negativo","Decepcionante.","decepcionante:6.1170"
"161","negativo","no jalo","jalir:3.6078, no:1.1837"
"162","negativo","llego roto","roto:3.2612, llego:3.0585"
"163","negativo","no funsiona","funsionar:3.6078, no:1.1837"
"164","negativo","mala compra","malo:2.1099, compra:1.8672"
"165","negativo","venia avierto","avierto:3.6078, venia:3.2612"
"166","negativo","tardo muchisimo","muchisimo:3.6078, tardo:3.4051"
"167","negativo","que mal servicio","servicio:6.5225"
"168","negativo","no me gusto","gustar:1.8091, no:1.1837"
"169","negativo","pesima calidad!!!","pesimo:3.6078, calidad:1.7572"
"170","negativo","me cobraron doble","doble:3.6078, cobrar:3.4051"
"171","negativo","El producto llegó dañado y no funcionó desde que lo saqué de la caja.","saqué:1.0195, dañado:0.9344, caja:0.7513, funcionar:0.5332, producto:0.5302"
"172","negativo","Muy mala calidad, se rompió al primer uso.","romper:1.4279, uso:1.1269, malo:1.0550, calidad:0.8786"
"173","negativo","El pedido tardó demasiado y llegó todo golpeado.","golpeado:1.7121, tardar:1.6059, pedido:1.5138"
"174","negativo","No es igual al de la foto, me sentí engañado.","engañar:1.8039, sentir:1.8039, foto:1.1827, no:0.5919"
"175","negativo","El vendedor nunca respondió mis mensajes.","mensaje:1.8039, responder:1.7025, nunca:1.5292, vendedor:1.4279"
"176","negativo","El artículo llegó incompleto, faltaban piezas importantes.","faltar:1.1659, importante:1.1659, incompleto:1.0272, pieza:0.9929, artículo:0.8034"
"177","negativo","La calidad es muy baja para el precio que pagué.","pagar:1.4907, bajo:1.4573, precio:0.9754, calidad:0.8786"
"178","negativo","El producto venía abierto y con señales de uso.","señal:1.1926, abierto:1.0401, uso:0.9015, venir:0.7469, producto:0.6363"
"179","negativo","No lo recomiendo, dejó de funcionar al segundo día.","recomeir:1.5025, funcionar:1.0664, no:0.7892"
"180","negativo","La caja llegó aplastada y el producto estaba rayado.","aplastado:1.6306, rayado:1.4015, caja:1.1269, producto:0.7953"
"181","negativo","La talla no corresponde, viene mucho más chica.","chico:1.3620, talla:1.1659, corresponder:1.0401, venir:0.7469, no:0.4735"
"182","negativo","El cargador se calienta demasiado, no me da confianza usarlo.","confianza:1.4907, calentar:1.4015, cargador:1.3174, no:0.5919"
"183","negativo","Los audífonos se escuchan mal y uno no prende.","escuchar:1.6306, prender:1.4279, audífono:1.3777, no:0.5919"
"184","negativo","La bocina llegó golpeada y con un ruido raro.","raro:1.7025, ruido:1.4573, bocina:1.3174, golpeado:1.2840"
"185","negativo","El producto huele muy feo, parece de mala calidad.","feo:1.4431, oler:1.3045, malo:0.8440, calidad:0.7029, producto:0.6363"
"186","negativo","No cumple con la descripción, nada que ver con lo anunciado.","anunciado:1.4573, descripción:1.1725, cumplir:0.9336, no:0.5919"
"187","negativo","Me llegó un producto diferente al que compré.","comprar:2.3065, producto:1.5907"
"188","negativo","El material es muy frágil y se siente barato.","frágil:1.8370, barato:1.6918, material:1.4237"
"189","negativo","La app falló al pagar y aun así me hicieron el cargo.","cargo:1.8039, pagar:1.4907, app:1.3560, fallar:1.2044"
"190","negativo","El pedido llegó tarde y nadie me avisó nada.","avisar:2.4052, tarde:1.6214, pedido:1.5138"
"191","negativo","La prenda llegó manchada y mal empacada.","manchado:2.4052, prenda:2.0998, empacado:1.7566"
"192","negativo","El juguete llegó sin una pieza y no se puede usar.","juguete:1.3560, pieza:1.2411, sin:0.8579, no:0.5919"
"193","negativo","La crema venía abierta, no me dio confianza.","confianza:1.1926, crema:1.0688, abierto:1.0401, venir:0.7469, no:0.4735"
"194","negativo","El sartén se rayó desde el primer uso.","rayar:2.2700, sartén:2.0998, uso:1.5025"
"195","negativo","El producto no prende, llegó defectuoso.","defectuoso:1.5748, prender:1.4279, producto:0.7953, no:0.5919"
"196","negativo","Muy mala compra, esperaba algo mejor por ese precio.","malo:0.8440, esperar:0.8204, mejor:0.8204, precio:0.7803, compra:0.7469"
"197","negativo","El empaque estaba roto y el producto sucio.","roto:1.6306, sucio:1.6306, empaque:1.2161, producto:0.7953"
"198","negativo","No sirve como lo prometen, fue dinero perdido.","dinero:1.1659, perdido:1.1659, prometer:1.0272, servir:0.8886, no:0.4735"
"199","negativo","La batería dura muy poco, no cumple lo anunciado.","anunciado:1.1659, duro:1.0272, batería:0.9826, cumplir:0.7469, no:0.4735"
"200","negativo","El artículo llegó con golpes y sin protección.","protección:1.6306, golpe:1.3560, artículo:1.0042, sin:0.8579"
"201","negativo","El color es diferente al que pedí.","pedir:2.9814, color:2.3449"
"202","negativo","La tela está muy delgada y se siente corriente.","delgado:2.2700, corriente:2.0390, tela:2.0390"
"203","negativo","El producto se desarmó al poco tiempo de usarlo.","desarmar:2.4052, tiempo:1.6377, producto:1.0605"
"204","negativo","El vendedor canceló tarde y no explicó el motivo.","cancelar:1.4431, motivo:1.4431, vendedor:1.1423, tarde:0.9728, no:0.4735"
"205","negativo","La entrega fue lenta y el paquete llegó maltratado.","lento:1.4907, maltratado:1.3360, paquete:1.1532, entrega:1.1441"
"206","negativo","No pude usarlo porque venía sin instrucciones.","instrucción:1.5292, venir:0.9336, sin:0.8579, no:0.5919"
"207","negativo","El producto parece imitación, no se ve original.","imitación:1.8039, original:1.6306, producto:0.7953, no:0.5919"
"208","negativo","Compré dos piezas y una llegó rota.","rota:2.4052, pieza:1.6548, comprar:1.5376"
"209","negativo","No me gustó nada, la calidad es deficiente.","deficiente:1.8039, gustar:0.9046, calidad:0.8786, no:0.5919"
"210","negativo","El cierre de la mochila se rompió el primer día.","cierre:2.2700, romper:1.9038, mochila:1.8079"
"211","negativo","Los zapatos lastiman y la talla está mal.","lastimar:2.4052, zapato:1.9876, talla:1.9431"
"212","negativo","El reloj llegó sin funcionar y con la pantalla rayada.","pantalla:1.4431, rayado:1.1212, reloj:1.0151, sin:0.6863, funcionar:0.6398"
"213","negativo","El artículo no trae los accesorios que muestra la publicación.","traer:1.1350, mostrar:0.9344, accesorio:0.8107, publicación:0.7885, artículo:0.6695"
"214","negativo","El producto llegó mojado dentro del paquete.","mojado:2.4052, paquete:1.5376, producto:1.0605"
"215","negativo","La compra fue complicada y el soporte no ayudó.","ayudar:1.4431, complicar:1.3620, soporte:1.1926, compra:0.7469, no:0.4735"
"216","negativo","La licuadora hace mucho ruido y huele a quemado.","quemado:1.8039, oler:1.6306, ruido:1.4573, licuadora:1.3777"
"217","negativo","El producto no tiene la potencia que decía la descripción.","potencia:1.6306, descripción:1.1725, producto:0.7953, no:0.5919"
"218","negativo","Estoy muy decepcionado, no volvería a comprar aquí.","decepcionado:1.8039, volver:1.3777, comprar:1.1532, no:0.5919"
"219","negativo","La caja llegó abierta y faltaba el manual.","faltar:1.4573, manual:1.3360, abierto:1.3002, caja:1.1269"
"220","negativo","El material se rompió con un uso normal.","romper:1.4279, normal:1.2840, uso:1.1269, material:1.0678"
"221","negativo","El pedido llegó incompleto y nadie resolvió mi reclamo.","reclamo:1.8039, resolver:1.3560, incompleto:1.2840, pedido:1.1354"
"222","negativo","El producto venía rayado, parecía usado.","usado:1.2234, rayado:1.1212, parecer:1.1022, venir:0.7469, producto:0.6363"
"223","negativo","La app marcaba entregado pero no recibí nada.","entregado:1.2026, marcar:1.1350, app:0.9040, recibir:0.7885, pero:0.4376"
"224","negativo","El artículo es mucho más pequeño que en la imagen.","imagen:2.0390, pequeño:1.7566, artículo:1.3390"
"225","negativo","No carga bien, se desconecta a cada rato.","desconectar:1.4431, carga:1.3620, rato:1.1926, bien:0.6568, no:0.4735"
"226","negativo","El producto llegó tarde y además venía defectuoso.","defectuoso:1.5748, tarde:1.2161, venir:0.9336, producto:0.7953"
"227","negativo","La calidad no justifica el precio, está muy malo.","justificar:1.4431, malo:0.8440, precio:0.7803, calidad:0.7029, no:0.4735"
"228","negativo","El vendedor prometió enviar repuesto y ya no contestó.","enviar:1.2026, repuesto:1.2026, contestar:1.0499, vendedor:0.9519, prometer:0.8560"
"229","negativo","No me sirvió, las medidas publicadas están mal.","medida:1.5292, publicado:1.4279, servir:1.1108, no:0.5919"
"230","negativo","El producto falló después de unos minutos de uso.","minuto:1.8039, fallar:1.2044, uso:1.1269, producto:0.7953"
