id,texto,etiqueta
123,"Todo bien con el audífonos, llegó completo.",positivo
124,"El power bank superó mis expectativas, lo recomiendo. pero bueno",positivo
125,"Todo bien con el jabón, llegó completo. :(",positivo
126,"mmm Todo bien con el molde, llegó completo.!!!",positivo
127,"Me gustó el rompecabezas, se ve resistente y de buena calidad.",positivo
128,"Excelente sudadera, llegó bien empacado y listo para usar.",positivo
129,"Me gustó el jabón, se ve resistente y de buena calidad.",positivo
130,"ok, Todo bien con el tenis, llegó completo. :)",positivo
131,mmm La compra del perfume fue sencilla y llegó sin problemas. pero bueno,positivo
132,El power bank tiene buen precio y buena presentación. la neta,positivo
133,El pantalón está mejor de lo que esperaba. :),positivo
134,"El mouse superó mis expectativas, lo recomiendo.",positivo
135,El mochila tiene buen precio y buena presentación.,positivo
136,El freidora está mejor de lo que esperaba.,positivo
137,"ok, Muy buen chamarra, no tuve fallas ni detalles. la neta",positivo
138,El secadora tiene buen precio y buena presentación.,positivo
139,"la verdad El tablet superó mis expectativas, lo recomiendo. en fin",positivo
140,"la verdad Muy buen camiseta, no tuve fallas ni detalles.",positivo
141,"Todo bien con el tablet, llegó completo.",positivo
142,"Muy buen reloj inteligente, no tuve fallas ni detalles. jeje",positivo
143,El blusa tiene buen precio y buena presentación.,positivo
144,"Todo bien con el rasuradora, llegó completo.",positivo
145,La compra del reloj inteligente fue sencilla y llegó sin problemas.,positivo
146,"sinceramente El reloj inteligente superó mis expectativas, lo recomiendo. en fin",positivo
147,"Todo bien con el tenis, llegó completo.!!!",positivo
148,la verdad La compra del set de bloques fue sencilla y llegó sin problemas.,positivo
149,"Muy buen rasuradora, no tuve fallas ni detalles.",positivo
150,"Excelente mochila, llegó bien empacado y listo para usar.",positivo
151,Malo.,negativo
152,No sirve.,negativo
153,Pésimo.,negativo
154,No llegó.,negativo
155,Muy mal.,negativo
156,Defectuoso.,negativo
157,No prende.,negativo
158,Horrible.,negativo
159,Nada que ver.,negativo
160,Decepcionante.,negativo
161,no jalo,negativo
162,llego roto,negativo
163,no funsiona,negativo
164,mala compra,negativo
165,venia avierto,negativo
166,tardo muchisimo,negativo
167,que mal servicio,negativo
168,no me gusto,negativo
169,pesima calidad!!!,negativo
170,me cobraron doble,negativo
171,El producto llegó dañado y no funcionó desde que lo saqué de la caja.,negativo
172,"Muy mala calidad, se rompió al primer uso.",negativo
173,El pedido tardó demasiado y llegó todo golpeado.,negativo
174,"No es igual al de la foto, me sentí engañado.",negativo
175,El vendedor nunca respondió mis mensajes.,negativo
176,"El artículo llegó incompleto, faltaban piezas importantes.",negativo
177,La calidad es muy baja para el precio que pagué.,negativo
178,El producto venía abierto y con señales de uso.,negativo
179,"No lo recomiendo, dejó de funcionar al segundo día.",negativo
180,La caja llegó aplastada y el producto estaba rayado.,negativo
181,"La talla no corresponde, viene mucho más chica.",negativo
182,"El cargador se calienta demasiado, no me da confianza usarlo.",negativo
183,Los audífonos se escuchan mal y uno no prende.,negativo
184,La bocina llegó golpeada y con un ruido raro.,negativo
185,"El producto huele muy feo, parece de mala calidad.",negativo
186,"No cumple con la descripción, nada que ver con lo anunciado.",negativo
187,Me llegó un producto diferente al que compré.,negativo
188,El material es muy frágil y se siente barato.,negativo
189,La app falló al pagar y aun así me hicieron el cargo.,negativo
190,El pedido llegó tarde y nadie me avisó nada.,negativo
191,La prenda llegó manchada y mal empacada.,negativo
192,El juguete llegó sin una pieza y no se puede usar.,negativo
193,"La crema venía abierta, no me dio confianza.",negativo
194,El sartén se rayó desde el primer uso.,negativo
195,"El producto no prende, llegó defectuoso.",negativo
196,"Muy mala compra, esperaba algo mejor por ese precio.",negativo
197,El empaque estaba roto y el producto sucio.,negativo
198,"No sirve como lo prometen, fue dinero perdido.",negativo
199,"La batería dura muy poco, no cumple lo anunciado.",negativo
200,El artículo llegó con golpes y sin protección.,negativo
201,El color es diferente al que pedí.,negativo
202,La tela está muy delgada y se siente corriente.,negativo
203,El producto se desarmó al poco tiempo de usarlo.,negativo
204,El vendedor canceló tarde y no explicó el motivo.,negativo
205,La entrega fue lenta y el paquete llegó maltratado.,negativo
206,No pude usarlo porque venía sin instrucciones.,negativo
207,"El producto parece imitación, no se ve original.",negativo
208,Compré dos piezas y una llegó rota.,negativo
209,"No me gustó nada, la calidad es deficiente.",negativo
210,El cierre de la mochila se rompió el primer día.,negativo
211,Los zapatos lastiman y la talla está mal.,negativo
212,El reloj llegó sin funcionar y con la pantalla rayada.,negativo
213,El artículo no trae los accesorios que muestra la publicación.,negativo
214,El producto llegó mojado dentro del paquete.,negativo
215,La compra fue complicada y el soporte no ayudó.,negativo
216,La licuadora hace mucho ruido y huele a quemado.,negativo
217,El producto no tiene la potencia que decía la descripción.,negativo
218,"Estoy muy decepcionado, no volvería a comprar aquí.",negativo
219,La caja llegó abierta y faltaba el manual.,negativo
220,El material se rompió con un uso normal.,negativo
221,El pedido llegó incompleto y nadie resolvió mi reclamo.,negativo
222,"El producto venía rayado, parecía usado.",negativo
223,La app marcaba entregado pero no recibí nada.,negativo
224,El artículo es mucho más pequeño que en la imagen.,negativo
225,"No carga bien, se desconecta a cada rato.",negativo
226,El producto llegó tarde y además venía defectuoso.,negativo
227,"La calidad no justifica el precio, está muy malo.",negativo
228,El vendedor prometió enviar repuesto y ya no contestó.,negativo
229,"No me sirvió, las medidas publicadas están mal.",negativo
230,El producto falló después de unos minutos de uso.,negativo
231,La costura viene mal hecha y se empezó a abrir.,negativo
232,El artículo no coincide con la descripción de la tienda.,negativo
233,"El empaque no protegió nada, llegó todo golpeado.",negativo
234,"Muy mala experiencia, el pedido llegó equivocado.",negativo
235,"El producto no es resistente, se dobló muy fácil.",negativo
236,"La crema llegó caducada, eso no debería pasar.",negativo
237,La atención fue lenta y no solucionaron el problema.,negativo
238,El juguete no prende aunque le puse pilas nuevas.,negativo
239,El producto es incómodo y de mala fabricación.,negativo
240,"No sirve para lo que se anuncia, me decepcionó.",negativo
241,El paquete llegó sin sellos y con el artículo maltratado.,negativo
242,El color se despintó después del primer lavado.,negativo
243,El producto llegó con piezas flojas y mal armado.,negativo
244,Me cobraron envío aunque decía que era gratis.,negativo
245,"No recomiendo comprarlo, salió defectuoso y caro.",negativo
246,"La experiencia fue mala desde el inicio: la app marcó error al pagar, después el pedido apareció como enviado y finalmente llegó un producto diferente.",negativo
247,"El paquete venía abierto, el producto tenía marcas de uso y al intentar reportarlo no recibí una respuesta clara del vendedor.",negativo
248,"Me decepcionó porque la publicación prometía buena calidad, pero el material se siente débil y el artículo falló casi de inmediato.",negativo
249,"No pude usar el producto porque llegó incompleto, sin manual y con una pieza rota; además, el soporte tardó demasiado en contestar.",negativo
250,"El pedido llegó varios días tarde y en malas condiciones, la caja estaba aplastada y el artículo no funcionó correctamente.",negativo
251,pues El set de bloques tardó mucho en llegar y llegó maltratado. pero bueno,negativo
252,"Muy mala calidad del audífonos, no lo recomiendo.",negativo
253,"Muy mala calidad del mouse, no lo recomiendo.",negativo
254,El muñeca venía abierto y con señales de uso.,negativo
255,pues El blusa no coincide con la descripción. en fin,negativo
256,"Muy mala calidad del cable USB, no lo recomiendo. en fin",negativo
257,"No sirve el mochila, fue dinero perdido.",negativo
258,El licuadora se rompió al poco tiempo de usarlo.,negativo
259,El bocina tardó mucho en llegar y llegó maltratado. :(,negativo
260,El perfume se rompió al poco tiempo de usarlo.,negativo
261,mmm El vaso venía abierto y con señales de uso. en fin,negativo
262,El short llegó dañado y no funciona.,negativo
263,la verdad El muñeca llegó dañado y no funciona.,negativo
264,El peluche se rompió al poco tiempo de usarlo.,negativo
265,"No me gustó el tenis, se siente barato.",negativo
266,"mmm Pésima compra, el cargador falló rápido. jeje",negativo
267,"No me gustó el gorra, se siente barato. jeje",negativo
268,sinceramente El pantalón llegó incompleto y nadie resolvió. la neta,negativo
269,"la verdad No me gustó el pantalón, se siente barato. jeje",negativo
270,"ok, Muy mala calidad del protector solar, no lo recomiendo. en fin",negativo
271,El power bank llegó dañado y no funciona.,negativo
272,"ok, No sirve el zapatos, fue dinero perdido. la neta",negativo
273,El drone infantil no coincide con la descripción.,negativo
274,"Pésima compra, el freidora falló rápido. jeje",negativo
275,mmm El drone infantil no coincide con la descripción. la neta,negativo
276,"Muy mala calidad del secadora, no lo recomiendo.",negativo
277,"Pésima compra, el juguete falló rápido.",negativo
278,El chamarra venía abierto y con señales de uso.,negativo
279,El tabla para picar venía abierto y con señales de uso.,negativo
280,"ok, El short llegó dañado y no funciona. la neta",negativo
281,sinceramente El cepillo llegó incompleto y nadie resolvió.!!!,negativo
282,El olla tardó mucho en llegar y llegó maltratado.,negativo
283,"pues Muy mala calidad del jabón, no lo recomiendo. :)",negativo
284,sinceramente El cargador venía abierto y con señales de uso.,negativo
285,"No sirve el chamarra, fue dinero perdido.",negativo
286,"Pésima compra, el sudadera falló rápido.",negativo
287,"No me gustó el camiseta, se siente barato.",negativo
288,El reloj inteligente llegó incompleto y nadie resolvió.,negativo
289,"sinceramente Muy mala calidad del juego de mesa, no lo recomiendo. en fin",negativo
290,"No sirve el juguete, fue dinero perdido.",negativo
291,"No sirve el secadora, fue dinero perdido.",negativo
292,El figura se rompió al poco tiempo de usarlo.,negativo
293,la verdad El figura llegó incompleto y nadie resolvió. :(,negativo
294,"pues Muy mala calidad del perfume, no lo recomiendo. la neta",negativo
295,la verdad El teclado se rompió al poco tiempo de usarlo. jeje,negativo
296,"No me gustó el mouse, se siente barato.",negativo
297,"ok, El peluche llegó incompleto y nadie resolvió. jeje",negativo
298,"ok, No sirve el gel, fue dinero perdido. pero bueno",negativo
299,El jabón tardó mucho en llegar y llegó maltratado.,negativo
300,"Pésima compra, el vaso falló rápido.",negativo
301,Normal.,neutro
302,Regular.,neutro
303,Recibido.,neutro
304,Cumple.,neutro
305,Sin comentarios.,neutro
306,Todo estándar.,neutro
307,Es básico.,neutro
308,Llegó.,neutro
309,Funciona.,neutro
310,Producto simple.,neutro
311,esta normal,neutro
312,llego ok,neutro
313,sin novedad,neutro
314,ni bien ni mal,neutro
315,cumple lo basico,neutro
316,es lo que dice,neutro
317,pedido recibido,neutro
318,todo igual,neutro
319,uso normal,neutro
320,no destaca,neutro
321,El producto llegó en la fecha indicada y corresponde a la descripción.,neutro
322,El artículo es funcional y cumple con lo básico.,neutro
323,Recibí el pedido sin problemas adicionales.,neutro
324,"El producto es normal, no destaca pero funciona.",neutro
325,Llegó en buen estado y con el empaque cerrado.,neutro
326,El artículo es igual al publicado en la tienda.,neutro
327,La compra se realizó sin inconvenientes.,neutro
328,El producto cumple su función de manera estándar.,neutro
329,El envío llegó dentro del tiempo estimado.,neutro
330,El artículo recibido coincide con la orden de compra.,neutro
331,El producto tiene características básicas para uso diario.,neutro
332,La entrega fue normal y el paquete llegó completo.,neutro
333,El producto funciona como se indica en la descripción.,neutro
334,No tengo comentarios adicionales sobre el artículo.,neutro
335,El pedido llegó correctamente y sin observaciones.,neutro
336,El artículo es adecuado para un uso sencillo.,neutro
337,La talla corresponde a la guía publicada.,neutro
338,El producto se recibió en condiciones aceptables.,neutro
339,La caja llegó cerrada y el contenido completo.,neutro
340,El producto es similar a otros artículos de la misma categoría.,neutro
341,La app permitió completar la compra sin cambios importantes.,neutro
342,El artículo cumple con las especificaciones generales.,neutro
343,El pedido fue entregado en el domicilio registrado.,neutro
344,El producto tiene un diseño común y funcional.,neutro
345,Recibí el producto y pude usarlo de forma normal.,neutro
346,El envío se realizó conforme al tiempo señalado.,neutro
347,El artículo es sencillo y cumple lo necesario.,neutro
348,El producto llegó sin daños visibles.,neutro
349,La compra quedó registrada correctamente en la app.,neutro
350,El producto corresponde al modelo seleccionado.,neutro
351,El artículo funciona de acuerdo con su categoría.,neutro
352,El paquete llegó con el contenido esperado.,neutro
353,El producto es de uso básico y presentación regular.,neutro
354,La entrega fue realizada sin incidencias.,neutro
355,El artículo no presenta fallas aparentes.,neutro
356,El producto tiene una calidad acorde al precio.,neutro
357,La información de la publicación coincide con el pedido.,neutro
358,El producto llegó en condiciones normales.,neutro
359,El envío fue procesado de manera estándar.,neutro
360,El artículo es correcto para tareas simples.,neutro
361,La compra fue completada y el producto fue entregado.,neutro
362,El producto no tiene características especiales.,neutro
363,El paquete llegó con los accesorios indicados.,neutro
364,La prenda corresponde al color seleccionado.,neutro
365,El producto puede utilizarse para lo que fue comprado.,neutro
366,La entrega se completó sin reportes adicionales.,neutro
367,El artículo es como aparece en la descripción.,neutro
368,El producto tiene funcionamiento regular.,neutro
369,Recibí el pedido completo y sin cambios.,neutro
370,El producto es adecuado para uso ocasional.,neutro
371,El artículo llegó con su empaque original.,neutro
372,El proceso de compra fue normal.,neutro
373,El producto cumple con lo indicado en la ficha.,neutro
374,La entrega llegó en el horario aproximado.,neutro
375,El artículo se ve igual al mostrado en la publicación.,neutro
376,El pedido fue entregado sin modificaciones.,neutro
377,El producto tiene un desempeño esperado.,neutro
378,La app mostró correctamente el estado del pedido.,neutro
379,El artículo llegó en condiciones de uso.,neutro
380,El producto es simple y cumple su propósito.,neutro
381,La compra no presentó problemas relevantes.,neutro
382,El paquete fue recibido en el tiempo señalado.,neutro
383,El artículo corresponde a la cantidad solicitada.,neutro
384,El producto es estándar dentro de su tipo.,neutro
385,La entrega fue registrada como completada.,neutro
386,El artículo puede usarse sin configuraciones complejas.,neutro
387,El producto llegó con la información básica.,neutro
388,La compra se realizó de manera habitual.,neutro
389,El pedido llegó completo y sin comentarios adicionales.,neutro
390,El producto tiene un uso sencillo.,neutro
391,El artículo fue entregado en el plazo indicado.,neutro
392,La presentación del producto es convencional.,neutro
393,El producto funciona de forma normal.,neutro
394,El pedido coincide con lo solicitado en la app.,neutro
395,El artículo llegó correctamente y se puede utilizar.,neutro
396,"El producto fue recibido dentro del periodo estimado; al revisarlo, corresponde al modelo publicado y no se identificaron diferencias importantes.",neutro
397,"La compra se completó de forma habitual, el seguimiento mostró los cambios de estado y el artículo llegó con las características indicadas.",neutro
398,El paquete contenía el producto solicitado y los accesorios mencionados en la descripción; no se realizaron observaciones adicionales.,neutro
399,"El artículo tiene un funcionamiento básico, suficiente para el uso indicado en la publicación, sin elementos destacables.",neutro
400,La entrega se realizó en el domicilio registrado y el producto coincide con la información general que aparece en la tienda.,neutro
401,El pantalón puede usarse para lo indicado.,neutro
402,El cargador tiene presentación estándar.,neutro
403,sinceramente La compra del secadora se realizó sin cambios.!!!,neutro
404,El cargador llegó completo y sin observaciones.,neutro
405,El teclado llegó en condiciones normales.,neutro
406,mmm Recibí el reloj inteligente dentro del tiempo estimado. :),neutro
407,El jabón es igual al publicado.,neutro
408,La compra del zapatos se realizó sin cambios.,neutro
409,El reloj inteligente llegó completo y sin observaciones.,neutro
410,El protector solar corresponde a la descripción.,neutro
411,El chamarra cumple con lo básico.,neutro
412,El cable USB cumple con lo básico.,neutro
413,mmm El gel tiene presentación estándar.!!!,neutro
414,pues El taza corresponde a la descripción. jeje,neutro
415,El mouse cumple con lo básico.,neutro
416,El tablet cumple con lo básico.,neutro
417,El power bank puede usarse para lo indicado.,neutro
418,El muñeca llegó en condiciones normales.,neutro
419,El olla corresponde a la descripción.,neutro
420,El tablet tiene presentación estándar.,neutro
421,El perfume tiene presentación estándar. en fin,neutro
422,El tabla para picar funciona de manera regular.,neutro
423,El juego de mesa tiene presentación estándar.,neutro
424,El juguete funciona de manera regular.,neutro
425,El gorra corresponde a la descripción.,neutro
426,El freidora tiene presentación estándar.,neutro
427,El licuadora llegó en condiciones normales.,neutro
428,El zapatos es igual al publicado.,neutro
429,la verdad El cuchillo funciona de manera regular.,neutro
430,La compra del licuadora se realizó sin cambios.,neutro
431,El shampoo tiene presentación estándar.,neutro
432,"ok, El teclado llegó en condiciones normales. :)",neutro
433,El rompecabezas puede usarse para lo indicado.,neutro
434,La compra del plancha de cabello se realizó sin cambios.,neutro
435,la verdad El gorra tiene presentación estándar.,neutro
436,El power bank es igual al publicado.,neutro
437,sinceramente Recibí el chamarra dentro del tiempo estimado. :(,neutro
438,El molde llegó completo y sin observaciones. :),neutro
439,El camiseta es igual al publicado. :(,neutro
440,El blusa llegó completo y sin observaciones.,neutro
441,El audífonos corresponde a la descripción.,neutro
442,El carrito tiene presentación estándar. :(,neutro
443,El power bank tiene presentación estándar.,neutro
444,El freidora corresponde a la descripción.,neutro
445,la verdad El short puede usarse para lo indicado.,neutro
446,La compra del molde se realizó sin cambios.,neutro
447,El pelota llegó completo y sin observaciones.,neutro
448,El drone infantil puede usarse para lo indicado.,neutro
449,El crema cumple con lo básico.!!!,neutro
450,"ok, El mouse llegó completo y sin observaciones. pero bueno",neutro
451,"Bien, pero tarde.",mixto
452,"Funciona, pero llegó golpeado.",mixto
453,"Me gustó, pero no tanto.",mixto
454,Bueno aunque caro.,mixto
455,"Sirve, pero raro.",mixto
456,Chido pero tardado.,mixto
457,Bonito pero chico.,mixto
458,Funciona pero se calienta.,mixto
459,Cumple pero pudo ser mejor.,mixto
460,Ok pero incompleto.,mixto
461,esta padre pero tardo,mixto
462,funciona bn pero venia golpeado,mixto
463,me gusto pero llego tarde,mixto
464,esta bonito aunq venia sucio,mixto
465,sirve pero no es igual,mixto
466,buen precio pero mala caja,mixto
467,llego rapido pero rayado,mixto
468,cumple pero esperaba mas,mixto
469,me gusto aunque no al 100,mixto
470,esta bien pero no perfecto,mixto
471,"El producto funciona bien, pero llegó con la caja un poco golpeada.",mixto
472,"Me gustó el diseño, aunque la calidad del material pudo ser mejor.",mixto
473,"Llegó rápido, pero el color no era exactamente el que pedí.",mixto
474,"La prenda está bonita, pero la talla viene algo reducida.",mixto
475,"El cargador funciona, aunque se calienta después de un rato.",mixto
476,"El juguete le gustó a mi hijo, pero venía sin pilas.",mixto
477,"La crema huele bien, pero el envase llegó medio abierto.",mixto
478,"El sartén cocina bien, aunque se raya con facilidad.",mixto
479,"El producto es bueno, pero el envío tardó más de lo indicado.",mixto
480,"La app es fácil de usar, pero el seguimiento del pedido falló.",mixto
481,"Me gustó el artículo, aunque el empaque venía maltratado.",mixto
482,"La bocina suena bien, pero la batería no dura tanto.",mixto
483,"Los tenis son cómodos, aunque el color se ve diferente.",mixto
484,"El producto cumple, pero esperaba mejores acabados.",mixto
485,"Buen precio, aunque la calidad no es tan alta.",mixto
486,"El pedido llegó completo, pero un accesorio venía rayado.",mixto
487,"La mochila es amplia, pero el cierre se siente débil.",mixto
488,"El artículo funciona, aunque el manual es confuso.",mixto
489,"La entrega fue puntual, pero el producto venía sucio.",mixto
490,"Me gustó la compra, pero el vendedor tardó en responder.",mixto
491,"El producto se ve bien, aunque no parece muy resistente.",mixto
492,"La camiseta tiene buen diseño, pero la tela es delgada.",mixto
493,"El reloj es bonito, pero llegó sin pila.",mixto
494,"El producto funciona correctamente, aunque llegó tarde.",mixto
495,"La calidad es aceptable, pero el precio me parece elevado.",mixto
496,"El artículo es útil, aunque el empaque no protegía mucho.",mixto
497,"La compra fue sencilla, pero el pago tardó en confirmarse.",mixto
498,"El producto llegó bien, aunque faltó una pieza pequeña.",mixto
499,"El diseño me encantó, pero el material se siente frágil.",mixto
500,"Funciona como esperaba, aunque hace más ruido del normal.",mixto
501,"El envío fue rápido, pero el producto tenía un pequeño rayón.",mixto
502,"La crema es buena, pero llegó con poca protección.",mixto
503,"El juguete está bonito, aunque una parte se desprende fácil.",mixto
504,"La licuadora tiene buena potencia, pero es muy ruidosa.",mixto
505,"El producto es práctico, pero la instalación fue complicada.",mixto
506,"Me gustó mucho, aunque llegó con un detalle en la pintura.",mixto
507,"La calidad es buena, pero el paquete llegó abierto.",mixto
508,"El artículo sirve, aunque no trae todos los accesorios esperados.",mixto
509,"El vendedor fue amable, pero el envío se demoró varios días.",mixto
510,"El producto es bonito, pero no coincide totalmente con la foto.",mixto
511,"Los audífonos se escuchan bien, aunque el cable parece débil.",mixto
512,"El pedido llegó completo, pero la caja estaba aplastada.",mixto
513,"La talla me quedó bien, aunque la tela se siente delgada.",mixto
514,"El producto cumple su función, pero no se ve muy durable.",mixto
515,"La app funcionó bien, pero la notificación de entrega llegó tarde.",mixto
516,"El artículo es bueno, aunque el precio pudo ser menor.",mixto
517,"Me gustó el producto, pero tardó mucho en llegar.",mixto
518,"El empaque estaba bonito, aunque el producto tenía polvo.",mixto
519,"La bocina tiene buen volumen, pero distorsiona un poco.",mixto
520,"El producto llegó rápido, pero no venía tan protegido.",mixto
521,"El sartén funciona bien, aunque el mango se siente flojo.",mixto
522,"La mochila está bonita, pero una costura viene chueca.",mixto
523,"El artículo es correcto, aunque esperaba mejor presentación.",mixto
524,"El producto es funcional, pero el color no me convenció.",mixto
525,"La compra fue buena, aunque la atención tardó en contestar.",mixto
526,"El reloj se ve elegante, pero la correa es algo rígida.",mixto
527,"El producto llegó completo, aunque el manual venía doblado.",mixto
528,"Los tenis son cómodos, pero el pegamento se nota en una orilla.",mixto
529,"El artículo tiene buena apariencia, pero pesa más de lo esperado.",mixto
530,"La crema deja buena sensación, aunque el olor es muy fuerte.",mixto
531,"Funciona bien, pero el botón principal se siente duro.",mixto
